session,speaker,title
11:00 - 11:30 Check-in & coffee,,
11:30 - 11:35 Welcome & introduction (Vasiliki Koutra),,
11:35 - 13:00 Session 1 (Chair: Daniel Stahl),Vasiliki Koutra,Experimental design for interference
11:35 - 13:00 Session 1 (Chair: Daniel Stahl),Mollie Payne,A novel trial design for dose-optimisation in complex interventions
11:35 - 13:00 Session 1 (Chair: Daniel Stahl),Steven Gilmour,A Critical Review of the Literature on Factorial Clinical Trials
11:35 - 13:00 Session 1 (Chair: Daniel Stahl),Gordon Forbes,Will work as a clinical trial statistician be fully automated by an AI within the next 12 to 18 months?
13:00 - 14:00 Lunch buffet,,
14:00 - 15:30 Session 2 (Chair: Lauren Bell),Marina Riabiz,A review of modern Bayesian and post-Bayesian frameworks and sampling methods
14:00 - 15:30 Session 2 (Chair: Lauren Bell),Kalliopi Mylona,Optimal experimental designs in pharmaceutical manufacturing
14:00 - 15:30 Session 2 (Chair: Lauren Bell),Jeremy Brown ,Applied causal inference with target trial emulation for estimating the effects of chronic medications in pregnancy
14:00 - 15:30 Session 2 (Chair: Lauren Bell),Yu Luo,Bayesian methods for some medical applications
15:30 - 16:00 Tea break,,
16:00 - 16:30 Session 3 (Chair: Richard Emsley),Round table discussion,How can statisticians at King's raise our profile and work more closely together?
16:30 Close of the day,,